Epoch,train_loss,val_loss,val_dice,val_iou
1,0.06984108047377384,0.02540125431809669,0.48053880962909384,0.4092510455620674
2,0.02391068769693517,0.025418471039135748,0.3505498436696743,0.296132083942431
3,0.018596987099903362,0.016114051785582423,0.5627529631738832,0.4714815761247586
4,0.015454975254958111,0.012518820437652338,0.6510980522628211,0.5542143995972303
5,0.013527519506280566,0.011416352169468838,0.6867178841298425,0.5916359091364912
6,0.011944214382926335,0.010934812706560701,0.6558964389415857,0.5638688078827885
7,0.010256492047207478,0.014296080138130843,0.6792306470621198,0.5937274838015655
8,0.009205167983450441,0.014561886618513351,0.6595194037914237,0.572810487915341
9,0.008413751603643447,0.009802651799111516,0.732104912896545,0.6421169178148173
10,0.007978670726020456,0.0075460279894734765,0.7944876696790428,0.7137577010412098
