Epoch,train_loss,val_loss,val_dice,val_iou
1,0.06594488116910767,0.022012923612214418,0.4573976111611198,0.37960276617679234
2,0.021059327767513167,0.02025782924188599,0.4854795213793102,0.41857652749654506
3,0.01727052619341588,0.013114990724051527,0.6535635622822926,0.5640808063147491
4,0.01369038562561562,0.010976410522610234,0.7082728278624153,0.6135965021217915
5,0.011874364033026968,0.016245689578723327,0.6230037230285973,0.5388555905783238
6,0.01142385941388399,0.010100709144810515,0.7310505836970023,0.6389757742807057
7,0.009493734138065332,0.00794946262064472,0.758829547403098,0.6742397283858111
8,0.009360221376996275,0.007870152763016126,0.7901248572792041,0.7101041976240229
9,0.007545474688540661,0.007041827508035724,0.7767634452169455,0.6964333737903815
10,0.00812273472351284,0.007028017944497054,0.8073438787081031,0.7286934209330247
